BARCODE	CELLS_PER_WELL	PROJECT_CODE	FLASK_BARCODE	CELL_LINE	MEDIA	DATE_CREATED	Compound Plate Map Name	PosCon Plate Map Name	Amplification name	Amplified (Y/N)	Detection name	Detected (Y/N)	12 pool amplification name	12 pool detection name
SCW0112628	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112629	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112630	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0112648	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112649	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112650	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0116868	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X1	PREP001_P8_X1	
SCW0116869	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X2	PREP001_P8_X2	
SCW0116870	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X3	PREP001_P8_X3	
SCW0113288	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X1	PREP001_P8_X1	
SCW0113289	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X2	PREP001_P8_X2	
SCW0113290	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-001-01	C-7159-01-IPB-004					PREP001_P8_X3	PREP001_P8_X3
SCW0111461	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_901_X1		PDOG002_P1_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111488	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_902_X1		PDOG002_P1_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111748	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_903_X1		PDOG002_P1_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112011	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_904_X1		PDOG002_P1_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112035	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_905_X1		PDOG002_P2_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111715	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_906_X1		PDOG002_P2_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111505	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_907_X1		PDOG002_P2_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111525	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_908_X1		PDOG002_P2_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112495	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_909_X1		PDOG002_P3_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112405	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_910_X1		PDOG002_P3_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112425	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_911_X1		PDOG002_P3_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0112445	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-002-01	C-7159-01-IPB-003	PDOG002_912_X1		PDOG002_P3_X1		PDOG002_P7_X1	PDOG002_P7_X1	
SCW0111462	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111463	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0111489	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111490	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0111749	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111750	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112012	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112020	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112036	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112037	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0111716	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111717	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0111506	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111507	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0111526	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0111527	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112496	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112497	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112406	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112407	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112426	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112427	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112446	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X2	PREP002_P7_X2	
SCW0112447	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P7_X3	PREP002_P7_X3	
SCW0112709	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
